,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-02,505.549988,506.475006,499.674988,500.549988,433.17215,2335222
1,2017-01-03,502.049988,502.450012,491.0,496.924988,430.035217,6778482
2,2017-01-04,497.524994,502.100006,496.125,498.875,431.722626,7073586
3,2017-01-05,500.799988,504.75,494.375,498.075012,431.030426,8207074
4,2017-01-06,497.450012,499.424988,484.024994,486.125,420.688934,14393448
5,2017-01-09,486.125,488.475006,482.5,485.174988,419.866821,10545692
6,2017-01-10,488.5,490.5,483.975006,485.274994,419.953369,11939854
7,2017-01-11,487.100006,489.225006,481.975006,484.549988,419.325897,12241574
8,2017-01-12,488.774994,502.200012,488.774994,500.024994,432.717896,11855740
9,2017-01-13,515.0,520.0,481.350006,487.899994,422.225037,31276246
10,2017-01-16,482.5,482.725006,476.225006,477.825012,413.506195,12351372
11,2017-01-17,478.125,482.0,476.200012,477.700012,413.39801,5560094
12,2017-01-18,479.049988,480.5,474.899994,475.399994,411.407623,5952962
13,2017-01-19,475.5,479.799988,474.049988,479.049988,414.566223,8876480
14,2017-01-20,475.0,476.575012,473.0,474.350006,410.498962,9124742
15,2017-01-23,472.5,479.0,470.0,476.350006,412.229736,7948580
16,2017-01-24,475.0,475.0,470.049988,472.774994,409.135864,6826010
17,2017-01-25,473.049988,473.399994,467.399994,468.299988,405.263336,9978090
18,2017-01-27,466.924988,473.774994,450.575012,471.075012,407.664795,10635138
19,2017-01-30,468.75,475.75,464.424988,474.674988,410.780182,11369208
20,2017-01-31,470.75,470.75,452.174988,464.299988,401.801758,24068534
21,2017-02-01,460.549988,461.600006,452.575012,458.375,396.674286,11531782
22,2017-02-02,458.5,472.5,455.049988,467.950012,404.960419,11828268
23,2017-02-03,466.899994,470.450012,460.524994,468.049988,405.046967,8423958
24,2017-02-06,468.625,471.875,465.274994,467.625,404.679169,6727934
25,2017-02-07,466.5,474.899994,464.274994,471.125,407.708069,9268002
26,2017-02-08,468.0,472.049988,466.225006,468.25,405.220093,6319962
27,2017-02-09,468.5,475.0,468.274994,473.0,409.330627,11907266
28,2017-02-10,473.125,486.0,471.649994,484.149994,418.979736,12252452
29,2017-02-13,486.424988,493.049988,481.424988,492.174988,425.924591,13724268
30,2017-02-14,490.0,494.5,486.174988,493.850006,427.374115,9338818
31,2017-02-15,494.600006,499.399994,484.399994,490.899994,424.821167,7259486
32,2017-02-16,495.5,506.950012,495.024994,506.049988,437.931854,12815858
33,2017-02-17,506.875,506.875,496.350006,500.049988,432.739532,4851208
34,2017-02-20,498.25,515.5,496.75,505.125,437.131409,4650662
35,2017-02-21,511.049988,512.25,500.024994,506.799988,438.580933,7613996
36,2017-02-22,507.5,507.5,493.200012,495.075012,428.434174,6607838
37,2017-02-23,499.450012,510.0,496.674988,504.424988,436.525604,9542656
38,2017-02-27,503.649994,511.5,503.475006,506.200012,438.061707,5328696
39,2017-02-28,505.924988,511.350006,504.625,506.200012,438.061707,5940132
40,2017-03-01,506.0,513.5,505.049988,512.575012,443.578613,4282448
41,2017-03-02,512.200012,514.0,508.25,511.649994,442.778046,2948498
42,2017-03-03,505.125,517.150024,500.200012,515.599976,446.19635,5401612
43,2017-03-06,510.024994,517.974976,509.850006,516.950012,447.364716,5286386
44,2017-03-07,511.0,512.900024,507.350006,509.899994,441.263672,4644496
45,2017-03-08,508.450012,508.450012,502.225006,503.899994,436.071289,6179176
46,2017-03-09,503.899994,506.5,499.5,505.774994,437.693817,3480630
47,2017-03-10,507.5,513.825012,506.700012,510.924988,442.150635,4550324
48,2017-03-14,511.399994,520.950012,511.399994,517.400024,447.75412,7878396
49,2017-03-15,517.450012,517.450012,503.75,505.975006,437.867035,6373978
50,2017-03-16,506.649994,515.849976,506.649994,514.424988,445.179565,6702956
51,2017-03-17,517.700012,521.450012,509.625,520.150024,450.133942,9507846
52,2017-03-20,513.275024,513.275024,507.549988,510.75,441.999237,4427388
53,2017-03-21,510.450012,517.474976,509.399994,516.424988,446.910339,4869584
54,2017-03-22,511.225006,519.974976,510.200012,513.849976,444.681915,3990852
55,2017-03-23,514.125,521.5,513.299988,520.224976,450.198822,4501662
56,2017-03-24,519.0,522.0,513.849976,515.700012,446.282928,4883896
57,2017-03-27,513.599976,520.924988,512.25,514.424988,445.179565,7684824
58,2017-03-28,515.75,519.5,515.025024,517.575012,447.905579,4796796
59,2017-03-29,517.150024,520.75,512.924988,515.924988,446.477631,6981186
60,2017-03-30,517.0,517.950012,510.125,512.75,443.730011,12157180
61,2017-03-31,511.625,514.650024,504.0,511.125,442.3237,14153854
62,2017-04-03,516.075012,516.224976,503.049988,504.399994,436.504028,4315600
63,2017-04-05,502.5,502.700012,495.5,497.975006,430.943787,7398338
64,2017-04-06,499.075012,502.899994,496.0,499.799988,432.523132,5379008
65,2017-04-07,500.450012,500.450012,489.5,490.774994,424.713013,6404508
66,2017-04-10,492.450012,494.75,475.049988,476.700012,412.532654,9528472
67,2017-04-11,478.024994,485.850006,478.024994,483.575012,418.482239,8655466
68,2017-04-12,485.0,488.450012,480.174988,484.424988,419.217743,6696752
69,2017-04-13,485.0,495.0,463.325012,465.700012,403.013306,30973188
70,2017-04-17,465.0,466.049988,461.75,462.450012,400.200775,7213434
71,2017-04-18,462.375,467.0,459.549988,461.325012,399.227234,4647518
72,2017-04-19,461.5,465.0,456.325012,459.600006,397.734406,10071702
73,2017-04-20,460.75,464.850006,459.274994,463.649994,401.239227,4549000
74,2017-04-21,467.399994,467.399994,460.549988,461.850006,399.681549,3577466
75,2017-04-24,458.75,464.25,456.5,463.274994,400.914673,5556666
76,2017-04-25,462.950012,466.5,460.274994,464.674988,402.126221,4737060
77,2017-04-26,464.975006,467.774994,455.100006,457.125,395.59259,9084496
78,2017-04-27,458.0,464.5,458.0,462.625,400.352173,7797208
79,2017-04-28,463.424988,463.700012,457.799988,459.475006,397.626251,5029702
80,2017-05-02,462.0,463.200012,457.549988,461.299988,399.205536,3231126
81,2017-05-03,463.25,469.549988,458.825012,467.149994,404.268127,4659448
82,2017-05-04,468.5,469.825012,464.450012,468.825012,405.717651,5279806
83,2017-05-05,468.0,468.674988,460.0,465.75,403.056519,4432788
84,2017-05-08,469.0,474.274994,466.0,472.75,409.114319,4707098
85,2017-05-09,475.299988,475.975006,471.049988,473.325012,409.611938,5649372
86,2017-05-10,473.575012,475.0,468.575012,471.825012,408.313843,3364302
87,2017-05-11,473.424988,474.924988,468.774994,472.049988,408.508453,3229482
